id	tid	ts0	title0	ts1	title1	ts2	title2	ts3	title3	ts4	title4	ts5	title5	score1	score2	score3	avg	sd
1	37	2021-04-01 20:30:03	瑞丽暂停珠宝交易市场	2021-03-31 13:48:38	瑞丽时隔198天二次封城	2021-03-31 11:39:38	云南瑞丽：全面强化边境管控	2021-03-31 10:49:02	云南瑞丽姐告国门社区封闭管理	2021-03-31 09:57:38	瑞丽市区所有居民居家隔离一周	2021-03-31 09:18:14	云南新增6例本土确诊病例	2	2	2	2	0
2	37	2021-04-02 08:16:23	瑞丽急需流调人员和缅语翻译	2021-04-01 08:03:39	云南省长赶赴瑞丽：守好国门	2021-03-31 13:48:38	瑞丽时隔198天二次封城	2021-03-31 11:39:38	云南瑞丽：全面强化边境管控	2021-03-31 10:49:02	云南瑞丽姐告国门社区封闭管理	2021-03-31 09:18:14	云南新增6例本土确诊病例	3	3	3	3	0
3	37	2021-04-02 10:29:58	张文宏:瑞丽疫情透露几个关键信息	2021-04-02 00:01:39	云南瑞丽市5地调整为中风险地区	2021-04-01 13:16:17	瑞丽完成全员核酸采样	2021-03-31 13:48:38	瑞丽时隔198天二次封城	2021-03-31 11:39:38	云南瑞丽：全面强化边境管控	2021-03-31 09:44:37	瑞丽市市区全员核酸检测	4	4	4	4	0
4	43	2021-04-02 12:04:40	国台办回应台铁列车脱轨事故	2021-04-02 12:02:49	台铁与货车相撞出轨内部画面曝光	2021-04-02 11:34:06	台铁太鲁阁号隧道内出轨							4	3	3	3.333333333	0.471404521
5	43	2021-04-02 12:05:40	台铁脱轨列车上多为清明扫墓民众	2021-04-02 12:02:49	台铁与货车相撞出轨内部画面曝光	2021-04-02 11:34:06	台铁太鲁阁号隧道内出轨							4	3	2	3	0.816496581
6	43	2021-04-02 14:31:40	台铁脱轨事故一家4口3人遇难	2021-04-02 13:33:09	台铁脱轨列车上多为清明扫墓民众	2021-04-02 12:49:46	官方回应台出轨列车事故原因	2021-04-02 12:10:04	台铁列车脱轨 35人无生命征象	2021-04-02 12:02:49	台铁与货车相撞出轨内部画面曝光	2021-04-02 11:34:06	台铁太鲁阁号隧道内出轨	4	3	3	3.333333333	0.471404521
7	43	2021-04-02 15:03:40	台铁脱轨现场空拍图曝光	2021-04-02 14:11:49	台铁脱轨列车司机确认殉职	2021-04-02 12:49:46	官方回应台出轨列车事故原因	2021-04-02 12:10:04	台铁列车脱轨 35人无生命征象	2021-04-02 12:02:49	台铁与货车相撞出轨内部画面曝光	2021-04-02 11:34:06	台铁太鲁阁号隧道内出轨	4	4	4	4	0
8	43	2021-04-02 15:18:40	台铁死亡民众多为回乡扫墓	2021-04-02 14:11:49	台铁脱轨列车司机确认殉职	2021-04-02 13:33:09	台铁脱轨列车上多为清明扫墓民众	2021-04-02 12:10:04	台铁列车脱轨 35人无生命征象	2021-04-02 12:02:49	台铁与货车相撞出轨内部画面曝光	2021-04-02 11:34:06	台铁太鲁阁号隧道内出轨	4	3	3	3.333333333	0.471404521
9	38	2021-04-02 16:54:40	赵英俊没告诉妈妈自己得病	2021-04-01 17:45:39	赵英俊留给世界最后的话	2021-02-05 10:39:44	赵英俊追悼会举办	2021-02-03 20:15:43	赵英俊遗书：太爱这个世界	2021-02-03 17:05:58	知情人士披露赵英俊去世原因	2021-02-03 16:32:03	音乐人赵英俊因病去世	4	3	3	3.333333333	0.471404521
10	43	2021-04-02 18:00:40	台交通部门负责人就台铁事故道歉	2021-04-02 16:54:40	台铁事故遇难司机刚新婚不久	2021-04-02 14:11:49	台铁脱轨列车司机确认殉职	2021-04-02 13:33:09	台铁脱轨列车上多为清明扫墓民众	2021-04-02 12:02:49	台铁与货车相撞出轨内部画面曝光	2021-04-02 11:34:06	台铁太鲁阁号隧道内出轨	4	4	4	4	0
11	43	2021-04-02 18:01:40	台铁脱轨：工程车司机或未拉好手刹	2021-04-02 18:00:40	台交通部门负责人就台铁事故道歉	2021-04-02 16:54:40	台铁事故遇难司机刚新婚不久	2021-04-02 16:11:36	台铁事故幸存者发声	2021-04-02 13:33:09	台铁脱轨列车上多为清明扫墓民众	2021-04-02 12:02:49	台铁与货车相撞出轨内部画面曝光	3	3	3	3	0
12	40	2021-04-02 18:02:42	苏伊士运河货轮搁浅系船长错误操作	2021-04-01 11:33:39	苏伊士运河堵塞是否影响中国外贸？	2021-03-30 12:36:37	苏伊士运河通航首艘货船挂香港区旗	2021-03-27 22:36:35	超300艘船在苏伊士运河等待通航	2021-03-27 17:53:51	美海军将派专家组前往苏伊士运河	2021-03-25 14:17:18	苏伊士运河“卡死”致油价大涨	3	3	3	3	0
13	43	2021-04-02 18:12:40	台铁事故肇事工程车疑车龄27年	2021-04-02 18:00:40	台交通部门负责人就台铁事故道歉	2021-04-02 16:17:05	台铁出轨事故死亡人数上升至48人	2021-04-02 16:11:36	台铁事故幸存者发声	2021-04-02 15:40:07	台铁列车出轨已致41死	2021-04-02 12:49:46	官方回应台出轨列车事故原因	4	4	4	4	0
14	43	2021-04-02 18:15:40	国台办高度关切台铁列车事故	2021-04-02 18:12:40	台铁脱轨事故肇事工程车疑车龄27年	2021-04-02 18:00:40	台交通部门负责人就台铁事故道歉	2021-04-02 16:17:05	台铁出轨事故死亡人数上升至48人	2021-04-02 14:11:49	台铁脱轨列车司机确认殉职	2021-04-02 11:34:06	台铁太鲁阁号隧道内出轨	4	4	4	4	0
15	43	2021-04-02 20:33:40	台铁事故中一名澳门籍旅客受伤	2021-04-02 16:17:05	台铁出轨事故死亡人数上升至48人	2021-04-02 16:11:36	台铁事故幸存者发声	2021-04-02 15:40:07	台铁列车出轨已致41死	2021-04-02 12:49:46	官方回应台出轨列车事故原因	2021-04-02 12:10:04	台铁列车脱轨 35人无生命征象	3	3	3	3	0
16	37	2021-04-02 22:26:54	吴尊友、张文宏谈瑞丽疫情	2021-04-01 08:03:39	云南省长赶赴瑞丽：守好国门	2021-03-31 13:48:38	瑞丽时隔198天二次封城	2021-03-31 11:39:38	云南瑞丽：全面强化边境管控	2021-03-31 10:49:02	云南瑞丽姐告国门社区封闭管理	2021-03-31 09:57:38	瑞丽市区所有居民居家隔离一周	4	4	4	4	0
17	43	2021-04-02 22:53:40	蔡英文就台铁事故发表声明	2021-04-02 18:12:40	台铁脱轨事故肇事工程车疑车龄27年	2021-04-02 14:11:49	台铁脱轨列车司机确认殉职	2021-04-02 13:33:09	台铁脱轨列车上多为清明扫墓民众	2021-04-02 12:49:46	官方回应台出轨列车事故原因	2021-04-02 11:34:06	台铁太鲁阁号隧道内出轨	4	4	4	4	0
18	53	2021-04-03 06:57:58	中方驳斥欧盟涉BBC记者离华声明	2021-04-02 20:13:30	中方回应BBC记者受骚扰离华	2021-04-01 15:05:09	英学者痛批BBC记者“不辞而别”	2021-02-13 10:39:09	BBC再以种族主义面目挑衅中国	2021-02-12 04:36:10	BBC被禁止继续在中国境内落地	2021-02-05 12:29:38	外交部就BBC假新闻提出严正交涉	2	2	2	2	0
19	43	2021-04-03 07:38:40	台铁局称列车脱轨系工程车滑落导致	2021-04-03 02:22:51	台湾列车脱轨事故部分罹难者名单	2021-04-02 20:17:25	台铁出轨列车最小遇难者仅6岁	2021-04-02 18:12:40	台铁脱轨事故肇事工程车疑车龄27年	2021-04-02 12:49:46	官方回应台出轨列车事故原因	2021-04-02 12:10:04	台铁列车脱轨 35人无生命征象	4	4	4	4	0
20	43	2021-04-03 07:42:00	台铁事故死亡人数升至51人	2021-04-03 02:22:51	台湾列车脱轨事故部分罹难者名单	2021-04-02 22:53:40	蔡英文就台铁事故发表声明	2021-04-02 22:06:00	台铁事故前官僚自夸：耗巨资设围篱	2021-04-02 16:17:05	台铁出轨事故死亡人数上升至48人	2021-04-02 12:02:49	台铁与货车相撞出轨内部画面曝光	4	4	4	4	0
21	43	2021-04-03 08:07:41	台铁出轨列车最小遇难者仅6岁	2021-04-02 22:06:00	台铁事故前官僚自夸：耗巨资设围篱	2021-04-02 16:17:05	台铁出轨事故死亡人数上升至48人	2021-04-02 14:11:49	台铁脱轨列车司机确认殉职	2021-04-02 12:49:46	官方回应台出轨列车事故原因	2021-04-02 12:10:04	台铁列车脱轨 35人无生命征象	3	3	3	3	0
22	43	2021-04-03 08:42:02	台铁事故中一大陆学生已出院	2021-04-02 22:53:40	蔡英文就台铁事故发表声明	2021-04-02 20:33:40	台铁事故中一名澳门籍旅客受伤	2021-04-02 18:15:40	国台办高度关切台铁列车事故	2021-04-02 15:40:07	台铁列车出轨已致41死	2021-04-02 13:33:09	台铁脱轨列车上多为清明扫墓民众	3	3	3	3	0
23	43	2021-04-03 10:06:40	台铁事故幸存者发声	2021-04-02 18:15:40	国台办高度关切台铁列车事故	2021-04-02 16:54:40	台铁事故遇难司机刚新婚不久	2021-04-02 14:11:49	台铁脱轨列车司机确认殉职	2021-04-02 12:02:49	台铁与货车相撞出轨内部画面曝光	2021-04-02 11:34:06	台铁太鲁阁号隧道内出轨	3	3	3	3	0
